geo_description,label,year,description,estimate,moe,se,cv
Guilford ,HD01_VD14,2008,Estimate; Female: - Regular high school diploma,21412,2332.94,1190.28,5.56
United States,HD01_VD15,2008,Estimate; Female: - GED or alternative credential,2480467,29918.3,15264.44,0.62
North Carolina,HD01_VD15,2008,Estimate; Female: - GED or alternative credential,93635,6062.3,3093.01,3.3
Durham ,HD01_VD15,2008,Estimate; Female: - GED or alternative credential,851,467.06,238.3,28
Forsyth ,HD01_VD15,2008,Estimate; Female: - GED or alternative credential,2416,865.02,441.34,18.27
Guilford ,HD01_VD15,2008,Estimate; Female: - GED or alternative credential,2364,838.81,427.96,18.1
United States,HD01_VD16,2008,"Estimate; Female: - Some college, no degree",16189701,66692.43,34026.75,0.21
North Carolina,HD01_VD16,2008,"Estimate; Female: - Some college, no degree",518125,11953.02,6098.48,1.18
Durham ,HD01_VD16,2008,"Estimate; Female: - Some college, no degree",6788,1466.72,748.33,11.02
Forsyth ,HD01_VD16,2008,"Estimate; Female: - Some college, no degree",16721,2064.85,1053.49,6.3
Guilford ,HD01_VD16,2008,"Estimate; Female: - Some college, no degree",21081,2561.7,1306.99,6.2
United States,HD01_VD17,2008,Estimate; Female: - Associate's degree,6270069,42108.43,21483.89,0.34
North Carolina,HD01_VD17,2008,Estimate; Female: - Associate's degree,219403,9288.85,4739.21,2.16
Durham ,HD01_VD17,2008,Estimate; Female: - Associate's degree,3360,1071.15,546.51,16.27
Forsyth ,HD01_VD17,2008,Estimate; Female: - Associate's degree,5965,1257.02,641.34,10.75
Guilford ,HD01_VD17,2008,Estimate; Female: - Associate's degree,8710,1609.7,821.28,9.43
United States,HD01_VD18,2008,Estimate; Female: - Bachelor's degree,13591529,70502.81,35970.82,0.26
North Carolina,HD01_VD18,2008,Estimate; Female: - Bachelor's degree,444654,9585.53,4890.58,1.1
Durham ,HD01_VD18,2008,Estimate; Female: - Bachelor's degree,14112,1795.57,916.11,6.49
Forsyth ,HD01_VD18,2008,Estimate; Female: - Bachelor's degree,20512,2285.28,1165.96,5.68
Guilford ,HD01_VD18,2008,Estimate; Female: - Bachelor's degree,26172,2608.17,1330.7,5.08
United States,HD01_VD19,2008,Estimate; Female: - Graduate degree,7660560,46347.74,23646.81,0.31
North Carolina,HD01_VD19,2008,Estimate; Female: - Graduate degree,205461,7689.87,3923.4,1.91
Durham ,HD01_VD19,2008,Estimate; Female: - Graduate degree,11821,1631.15,832.22,7.04
Forsyth ,HD01_VD19,2008,Estimate; Female: - Graduate degree,8537,1274.89,650.45,7.62
Guilford ,HD01_VD19,2008,Estimate; Female: - Graduate degree,12475,1967.15,1003.65,8.05
United States,HD01_VD01,2009,Estimate; Total:,139962199,29322.55,14960.48,0.01
North Carolina,HD01_VD01,2009,Estimate; Total:,4362790,5626.21,2870.52,0.07
Durham ,HD01_VD01,2009,Estimate; Total:,88891,341.96,174.47,0.2
Forsyth ,HD01_VD01,2009,Estimate; Total:,156603,214.47,109.42,0.07
Guilford ,HD01_VD01,2009,Estimate; Total:,195221,614.81,313.68,0.16
United States,HD01_VD02,2009,Estimate; Male:,67452693,18142.81,9256.54,0.01
North Carolina,HD01_VD02,2009,Estimate; Male:,2076515,4477.62,2284.5,0.11
Durham ,HD01_VD02,2009,Estimate; Male:,41301,341.96,174.47,0.42
Forsyth ,HD01_VD02,2009,Estimate; Male:,73159,104.85,53.49,0.07
Guilford ,HD01_VD02,2009,Estimate; Male:,91755,445.62,227.36,0.25
United States,HD01_VD03,2009,Estimate; Male: - Less than 9th grade,2111263,30255.49,15436.47,0.73
North Carolina,HD01_VD03,2009,Estimate; Male: - Less than 9th grade,89065,6042.04,3082.67,3.46
Durham ,HD01_VD03,2009,Estimate; Male: - Less than 9th grade,288,266.89,136.17,47.28
