geo_description,label,year,description,estimate,moe,se,cv
Forsyth ,HD01_VD04,2007,Estimate; Male: - Nursery to 4th grade,791,774.47,395.14,49.95
Guilford ,HD01_VD04,2007,Estimate; Male: - Nursery to 4th grade,303,315.74,161.09,53.17
United States,HD01_VD05,2007,Estimate; Male: - 5th and 6th grade,2022703,35324.09,18022.49,0.89
North Carolina,HD01_VD05,2007,Estimate; Male: - 5th and 6th grade,59302,5582.13,2848.03,4.8
Durham ,HD01_VD05,2007,Estimate; Male: - 5th and 6th grade,2105,1056.85,539.21,25.62
Forsyth ,HD01_VD05,2007,Estimate; Male: - 5th and 6th grade,2137,1097.36,559.88,26.2
Guilford ,HD01_VD05,2007,Estimate; Male: - 5th and 6th grade,1755,753.02,384.19,21.89
United States,HD01_VD06,2007,Estimate; Male: - 7th and 8th grade,2509055,28641.02,14612.77,0.58
North Carolina,HD01_VD06,2007,Estimate; Male: - 7th and 8th grade,92810,5901.45,3010.94,3.24
Durham ,HD01_VD06,2007,Estimate; Male: - 7th and 8th grade,2642,1173.62,598.79,22.66
Forsyth ,HD01_VD06,2007,Estimate; Male: - 7th and 8th grade,2022,806.64,411.55,20.35
Guilford ,HD01_VD06,2007,Estimate; Male: - 7th and 8th grade,4351,1087.83,555.02,12.76
United States,HD01_VD07,2007,Estimate; Male: - 9th grade,2120037,29833.7,15221.28,0.72
North Carolina,HD01_VD07,2007,Estimate; Male: - 9th grade,91240,6048,3085.71,3.38
Durham ,HD01_VD07,2007,Estimate; Male: - 9th grade,1784,1028.26,524.62,29.41
Forsyth ,HD01_VD07,2007,Estimate; Male: - 9th grade,3500,1127.15,575.08,16.43
Guilford ,HD01_VD07,2007,Estimate; Male: - 9th grade,2989,1053.28,537.39,17.98
United States,HD01_VD08,2007,Estimate; Male: - 10th grade,2442146,33744.17,17216.41,0.7
North Carolina,HD01_VD08,2007,Estimate; Male: - 10th grade,105011,5534.47,2823.71,2.69
Durham ,HD01_VD08,2007,Estimate; Male: - 10th grade,2633,962.72,491.18,18.65
Forsyth ,HD01_VD08,2007,Estimate; Male: - 10th grade,3406,1067.57,544.68,15.99
Guilford ,HD01_VD08,2007,Estimate; Male: - 10th grade,4676,1365.45,696.66,14.9
United States,HD01_VD09,2007,Estimate; Male: - 11th grade,2502187,30944.17,15787.84,0.63
North Carolina,HD01_VD09,2007,Estimate; Male: - 11th grade,83552,5832.34,2975.68,3.56
Durham ,HD01_VD09,2007,Estimate; Male: - 11th grade,1252,544.51,277.81,22.19
Forsyth ,HD01_VD09,2007,Estimate; Male: - 11th grade,2159,768.51,392.1,18.16
Guilford ,HD01_VD09,2007,Estimate; Male: - 11th grade,3411,1204.6,614.59,18.02
United States,HD01_VD10,2007,"Estimate; Male: - 12th grade, no diploma",2022003,30045.79,15329.48,0.76
North Carolina,HD01_VD10,2007,"Estimate; Male: - 12th grade, no diploma",49682,4757.62,2427.36,4.89
Durham ,HD01_VD10,2007,"Estimate; Male: - 12th grade, no diploma",1209,844.77,431.01,35.65
Forsyth ,HD01_VD10,2007,"Estimate; Male: - 12th grade, no diploma",1570,633.87,323.4,20.6
Guilford ,HD01_VD10,2007,"Estimate; Male: - 12th grade, no diploma",2941,875.74,446.81,15.19
United States,HD01_VD11,2007,Estimate; Male: - High school graduate (includes equivalency),28684978,94234.89,48079.03,0.17
North Carolina,HD01_VD11,2007,Estimate; Male: - High school graduate (includes equivalency),858060,14897.19,7600.61,0.89
Durham ,HD01_VD11,2007,Estimate; Male: - High school graduate (includes equivalency),17452,2479.49,1265.05,7.25
Forsyth ,HD01_VD11,2007,Estimate; Male: - High school graduate (includes equivalency),31397,2623.66,1338.6,4.26
Guilford ,HD01_VD11,2007,Estimate; Male: - High school graduate (includes equivalency),39868,3609.02,1841.34,4.62
United States,HD01_VD12,2007,"Estimate; Male: - Some college, less than 1 year",5428212,52281.36,26674.16,0.49
North Carolina,HD01_VD12,2007,"Estimate; Male: - Some college, less than 1 year",155348,7523.06,3838.3,2.47
Durham ,HD01_VD12,2007,"Estimate; Male: - Some college, less than 1 year",3359,1028.26,524.62,15.62
Forsyth ,HD01_VD12,2007,"Estimate; Male: - Some college, less than 1 year",5507,1174.81,599.39,10.88
Guilford ,HD01_VD12,2007,"Estimate; Male: - Some college, less than 1 year",7555,1749.11,892.4,11.81
United States,HD01_VD13,2007,"Estimate; Male: - Some college, 1 or more years, no degree",12610384,65830.98,33587.23,0.27
North Carolina,HD01_VD13,2007,"Estimate; Male: - Some college, 1 or more years, no degree",369230,10989.11,5606.69,1.52
Durham ,HD01_VD13,2007,"Estimate; Male: - Some college, 1 or more years, no degree",10412,1736,885.71,8.51
Forsyth ,HD01_VD13,2007,"Estimate; Male: - Some college, 1 or more years, no degree",13923,2101.79,1072.34,7.7
Guilford ,HD01_VD13,2007,"Estimate; Male: - Some college, 1 or more years, no degree",19864,2315.06,1181.15,5.95
United States,HD01_VD14,2007,Estimate; Male: - Associate's degree,6402280,50814.64,25925.84,0.4
North Carolina,HD01_VD14,2007,Estimate; Male: - Associate's degree,194859,8257.02,4212.77,2.16
Durham ,HD01_VD14,2007,Estimate; Male: - Associate's degree,4567,1280.85,653.49,14.31
Forsyth ,HD01_VD14,2007,Estimate; Male: - Associate's degree,7388,1525.11,778.12,10.53
Guilford ,HD01_VD14,2007,Estimate; Male: - Associate's degree,8070,1786.04,911.24,11.29
United States,HD01_VD15,2007,Estimate; Male: - Bachelor's degree,16740689,81478.81,41570.82,0.25
North Carolina,HD01_VD15,2007,Estimate; Male: - Bachelor's degree,474690,11825.53,6033.43,1.27
Durham ,HD01_VD15,2007,Estimate; Male: - Bachelor's degree,16891,1992.17,1016.41,6.02
Forsyth ,HD01_VD15,2007,Estimate; Male: - Bachelor's degree,19019,2156.6,1100.31,5.79
Guilford ,HD01_VD15,2007,Estimate; Male: - Bachelor's degree,31560,3522.04,1796.96,5.69
United States,HD01_VD16,2007,Estimate; Male: - Master's degree,6476135,38473.19,19629.18,0.3
