year,geo_description,subtype,quintile,perc,type,se
2016,"Forsyth County, NC",150,3,0.19795269055194356,agep,0.020412345858346833
2016,"Forsyth County, NC",150,4,0.20193664407248582,agep,0.026282637700979824
2016,"Forsyth County, NC",150,5,0.12820583759856136,agep,0.016210956126011093
2017,"Durham County, NC",24,1,0.4223425477343973,agep,0.10744509322871174
2017,"Durham County, NC",24,2,0.31347962382445144,agep,0.09234212854764015
2017,"Durham County, NC",24,3,0.14049586776859505,agep,0.05561525167190798
2017,"Durham County, NC",24,4,0.11641493302935309,agep,0.0657926441202557
2017,"Durham County, NC",24,5,0.007267027643203192,agep,0.00739723465374297
2017,"Durham County, NC",44,1,0.13878150610793258,agep,0.019969373239346742
2017,"Durham County, NC",44,2,0.22665068810886035,agep,0.026558663199676775
2017,"Durham County, NC",44,3,0.17877300139168084,agep,0.02260168794932049
2017,"Durham County, NC",44,4,0.23898252667388278,agep,0.026339583884528377
2017,"Durham County, NC",44,5,0.21681227771764341,agep,0.022488334475850663
2017,"Durham County, NC",64,1,0.16283824137455782,agep,0.023393241014452254
2017,"Durham County, NC",64,2,0.16786879220838885,agep,0.02278268904601523
2017,"Durham County, NC",64,3,0.12167501263380347,agep,0.016887352644222715
2017,"Durham County, NC",64,4,0.18300638581338724,agep,0.02242840206359668
2017,"Durham County, NC",64,5,0.36461156796986266,agep,0.029270814095714245
2017,"Durham County, NC",150,1,0.22799949641193504,agep,0.037757455916300926
2017,"Durham County, NC",150,2,0.17936128247093877,agep,0.031523951892591204
2017,"Durham County, NC",150,3,0.23949809056192034,agep,0.027521422036231667
2017,"Durham County, NC",150,4,0.16706534055142894,agep,0.027218010159025845
2017,"Durham County, NC",150,5,0.18607579000377691,agep,0.027723038960204012
2017,"Forsyth County, NC",24,1,0.48563640176137557,agep,0.08842196255936731
2017,"Forsyth County, NC",24,2,0.27993289997903126,agep,0.07909351382546947
2017,"Forsyth County, NC",24,3,0.10421472006710002,agep,0.04938392673197658
2017,"Forsyth County, NC",24,4,0.1302159781924932,agep,0.07036078663075414
2017,"Forsyth County, NC",44,1,0.19977692663832652,agep,0.022667841625715363
2017,"Forsyth County, NC",44,2,0.23578433435750662,agep,0.026862456247320046
2017,"Forsyth County, NC",44,3,0.20415421524474936,agep,0.025174578868150933
2017,"Forsyth County, NC",44,4,0.1854034260701208,agep,0.018990778942562434
2017,"Forsyth County, NC",44,5,0.1748810976892967,agep,0.017281445301161498
2017,"Forsyth County, NC",64,1,0.17289232625747353,agep,0.01933393105307638
2017,"Forsyth County, NC",64,2,0.18349697401861298,agep,0.017283295365380758
2017,"Forsyth County, NC",64,3,0.16963779642733073,agep,0.019204969667392234
2017,"Forsyth County, NC",64,4,0.20975261916515825,agep,0.02009498083778298
2017,"Forsyth County, NC",64,5,0.2642202841314245,agep,0.019845664970355878
2017,"Forsyth County, NC",150,1,0.2944140894382261,agep,0.020779963420970736
2017,"Forsyth County, NC",150,2,0.2507294042756352,agep,0.026322330972257585
2017,"Forsyth County, NC",150,3,0.14991247148692377,agep,0.01885945074849111
2017,"Forsyth County, NC",150,4,0.17190069492334625,agep,0.019445474927384233
2017,"Forsyth County, NC",150,5,0.13304333987586867,agep,0.01528376400213129
2017,"Guilford County, NC",24,1,0.3517453011123897,agep,0.06916009173636295
2017,"Guilford County, NC",24,2,0.3361462728551336,agep,0.06497979654698266
2017,"Guilford County, NC",24,3,0.23692622426799642,agep,0.06028380097707115
2017,"Guilford County, NC",24,4,0.057665260196905765,agep,0.03840010221727188
2017,"Guilford County, NC",24,5,0.017516941567574478,agep,0.020281229076270692
2017,"Guilford County, NC",44,1,0.19240468551816758,agep,0.01918427222006461
2017,"Guilford County, NC",44,2,0.2283220174587779,agep,0.021700757387299777
2017,"Guilford County, NC",44,3,0.19907483399238976,agep,0.01901404330768646
2017,"Guilford County, NC",44,4,0.21913004551219875,agep,0.021518565260532172
2017,"Guilford County, NC",44,5,0.161068417518466,agep,0.016696895007421976
2017,"Guilford County, NC",64,1,0.1668391167192429,agep,0.016769047311635737
2017,"Guilford County, NC",64,2,0.1827634069400631,agep,0.017983041508548216
2017,"Guilford County, NC",64,3,0.2008328075709779,agep,0.01787434737306157
2017,"Guilford County, NC",64,4,0.19523028391167194,agep,0.016149764064934746
2017,"Guilford County, NC",64,5,0.25433438485804416,agep,0.014240915512007502
2017,"Guilford County, NC",150,1,0.24339787836214444,agep,0.019862738943050545
2017,"Guilford County, NC",150,2,0.2661820699203877,agep,0.02011690943215962
2017,"Guilford County, NC",150,3,0.17640950461181357,agep,0.019827682936086707
2017,"Guilford County, NC",150,4,0.1773053977561949,agep,0.016159746282875382
2017,"Guilford County, NC",150,5,0.1367051493494594,agep,0.013413466837568081
2006,"Forsyth County, NC",1,1,0.127413215417227,rac1p,0.011654846454737437
2006,"Forsyth County, NC",1,2,0.15591593918811114,rac1p,0.011937713801110753
2006,"Forsyth County, NC",1,3,0.21220340528343173,rac1p,0.014171257159891221
2006,"Forsyth County, NC",1,4,0.21381031613976706,rac1p,0.015769061617663577
2006,"Forsyth County, NC",1,5,0.2906571239714631,rac1p,0.01655244444155754
2006,"Forsyth County, NC",2,1,0.3294986679583434,rac1p,0.02993474483417493
2006,"Forsyth County, NC",2,2,0.2099782029547106,rac1p,0.025950370187235738
2006,"Forsyth County, NC",2,3,0.24939452651973842,rac1p,0.027197009027234178
2006,"Forsyth County, NC",2,4,0.11967183337369823,rac1p,0.019359043334680814
2006,"Forsyth County, NC",2,5,0.09145676919350933,rac1p,0.016708536147964238
2006,"Forsyth County, NC",3,1,0.27574406305091775,rac1p,0.06642296836791117
2006,"Forsyth County, NC",3,2,0.2673441874935186,rac1p,0.06077333537178888
2006,"Forsyth County, NC",3,3,0.3130768433060251,rac1p,0.06607176106538273
2006,"Forsyth County, NC",3,4,0.09115420512288706,rac1p,0.033549520192354
2006,"Forsyth County, NC",3,5,0.052680701026651455,rac1p,0.026508762638475583
2006,"Forsyth County, NC",4,1,0.248103186646434,rac1p,0.10499794277875742
2006,"Forsyth County, NC",4,2,0.125948406676783,rac1p,0.056775109506037015
2006,"Forsyth County, NC",4,3,0.19347496206373294,rac1p,0.09100560858976961
2006,"Forsyth County, NC",4,4,0.19878603945371776,rac1p,0.07722847210796575
2006,"Forsyth County, NC",4,5,0.2336874051593323,rac1p,0.08238037310009824
2007,"Forsyth County, NC",1,1,0.13730490666122616,rac1p,0.01309527261936729
2007,"Forsyth County, NC",1,2,0.1519716186654879,rac1p,0.020532105408278777
2007,"Forsyth County, NC",1,3,0.19537103154363178,rac1p,0.019166072330794016
2007,"Forsyth County, NC",1,4,0.21032110351706393,rac1p,0.012701396517526846
2007,"Forsyth County, NC",1,5,0.30503133961259027,rac1p,0.014909371926463945
2007,"Forsyth County, NC",2,1,0.2827937176449943,rac1p,0.031694054782079054
2007,"Forsyth County, NC",2,2,0.32230703986429177,rac1p,0.03358567240925684
2007,"Forsyth County, NC",2,3,0.1498639992980609,rac1p,0.028969614393763162
2007,"Forsyth County, NC",2,4,0.1361176917902372,rac1p,0.021401613238125054
2007,"Forsyth County, NC",2,5,0.10891755140241584,rac1p,0.021309056665939984
2007,"Forsyth County, NC",3,1,0.23923733065730055,rac1p,0.05916738540652557
2007,"Forsyth County, NC",3,2,0.3180130456598093,rac1p,0.07130230181861866
2007,"Forsyth County, NC",3,3,0.13286502759658805,rac1p,0.05424130078805673
2007,"Forsyth County, NC",3,4,0.248469643753136,rac1p,0.054285041646543825
2007,"Forsyth County, NC",3,5,0.06141495233316608,rac1p,0.032462019882938294
2007,"Forsyth County, NC",4,1,0.3110198926428797,rac1p,0.09585660158324875
2007,"Forsyth County, NC",4,2,0.11114619513735396,rac1p,0.05926150774782396
2007,"Forsyth County, NC",4,3,0.18755920429428483,rac1p,0.09000396290317723
2007,"Forsyth County, NC",4,4,0.2548152826018314,rac1p,0.09101311397238762
2007,"Forsyth County, NC",4,5,0.13545942532365013,rac1p,0.06075089891471651
2008,"Forsyth County, NC",1,1,0.1275953062714053,rac1p,0.012137010993551774
2008,"Forsyth County, NC",1,2,0.18003480994890797,rac1p,0.01286288681116333
2008,"Forsyth County, NC",1,3,0.18594127224748752,rac1p,0.0130720360318877
2008,"Forsyth County, NC",1,4,0.2308797933861097,rac1p,0.015083544593529525
2008,"Forsyth County, NC",1,5,0.2755488181460895,rac1p,0.015093305212131982
2008,"Forsyth County, NC",2,1,0.30580499391692256,rac1p,0.02722311447653703
2008,"Forsyth County, NC",2,2,0.25068072533456925,rac1p,0.027545196689738725
2008,"Forsyth County, NC",2,3,0.24013672440762412,rac1p,0.02900713168680069
2008,"Forsyth County, NC",2,4,0.0993569318115984,rac1p,0.01547053878154903
2008,"Forsyth County, NC",2,5,0.10402062452928568,rac1p,0.02051701449131783
2008,"Forsyth County, NC",3,1,0.1309164149043303,rac1p,0.062309307315442125
2008,"Forsyth County, NC",3,2,0.42542240125321695,rac1p,0.08343673044442822
2008,"Forsyth County, NC",3,3,0.23564954682779457,rac1p,0.06417926398773138
2008,"Forsyth County, NC",3,4,0.16828913505650667,rac1p,0.05577392143763934
2008,"Forsyth County, NC",3,5,0.0397225019581515,rac1p,0.021227987096557967
2008,"Forsyth County, NC",4,1,0.27635683094198377,rac1p,0.08885939355926258
2008,"Forsyth County, NC",4,2,0.16905801621958827,rac1p,0.077296849435781
2008,"Forsyth County, NC",4,3,0.14098565190268247,rac1p,0.06395546733377908
