geography,level,year,palma,se
3200,puma,2014,2.2737761174623756,0.20966952844307346
3300,puma,2014,2.1135111845587775,0.22538534201877172
3400,puma,2014,2.0784476207487694,0.21697405171173995
3500,puma,2014,1.869827713644692,0.18154558815976907
3600,puma,2014,1.9375249555998484,0.1828348226277925
3700,puma,2014,2.337348314122799,0.23667492818901012
3800,puma,2014,2.264103253320237,0.182749526599635
3900,puma,2014,2.6562399153018994,0.33188729539779616
4000,puma,2014,2.3375003697414463,0.2595998422194623
4100,puma,2014,2.0561597447889732,0.18637487838079259
4200,puma,2014,2.7272668263740454,0.2522590577504595
4300,puma,2014,1.8946910032142243,0.2125128303130408
4400,puma,2014,2.3634453163516675,0.16914995967409155
4500,puma,2014,1.7381836211996946,0.1709125992337496
4600,puma,2014,3.2382799135329323,0.516279911602824
4700,puma,2014,3.0608230726392436,0.2422219889974815
4800,puma,2014,2.5008361888440667,0.2795512074243687
4900,puma,2014,2.11201393305688,0.22637503396093442
5001,puma,2014,2.9188084154410996,0.37925968390989473
5002,puma,2014,1.7096090956217522,0.16188105360428112
5003,puma,2014,2.3968894691030274,0.2910885968226603
5100,puma,2014,3.5970460115822616,0.5551876485004094
5200,puma,2014,2.259263174935228,0.19679021953730025
5300,puma,2014,1.8246989007907006,0.15021259034586978
5400,puma,2014,2.143884492257114,0.221984330390129
1208,puma,2014,1.7101972916032955,0.158399700596341
100,puma,2015,2.667054739286581,0.22952290387472535
200,puma,2015,2.497119332066348,0.2454160504778367
300,puma,2015,1.9216633251216166,0.1622595892210769
400,puma,2015,2.005910811876762,0.21169116783952627
500,puma,2015,2.4794716514108317,0.32324487374510547
600,puma,2015,2.634717562589575,0.25657466435322746
700,puma,2015,1.8153396842323957,0.16210863804946274
800,puma,2015,2.118372746928018,0.19259182806024533
900,puma,2015,2.632855973865459,0.2846096567303059
1000,puma,2015,2.1648598904195753,0.37933246098710277
1100,puma,2015,1.4965127511499563,0.12483541961861443
1201,puma,2015,4.084381790359873,0.4273412239386658
1202,puma,2015,2.339457978241311,0.22916891740742837
1203,puma,2015,2.0412926361534867,0.29364464229968235
1204,puma,2015,1.3455503644216016,0.14832688457322515
1205,puma,2015,1.4117556559839985,0.13425221725684688
1207,puma,2015,1.8776240050533397,0.17029507260109525
1208,puma,2015,1.55704498746907,0.16953310059997298
1301,puma,2015,3.1992554457663855,0.344065743079823
1302,puma,2015,2.2195312932055193,0.24952906915655781
1400,puma,2015,3.4665810538635666,0.36810876670047016
1500,puma,2015,2.538326209159288,0.23942739533535418
1600,puma,2015,2.4123971412337726,0.2729907234770022
1701,puma,2015,3.4023275376281457,0.29437085947732006
1702,puma,2015,1.9997129102676685,0.2308245192635619
1703,puma,2015,2.250763142843879,0.31835749084126796
1704,puma,2015,2.3908803401446,0.25774105704223454
1801,puma,2015,3.991533758207727,0.4922057575407134
1802,puma,2015,2.6197369818711342,0.46731329328725224
1803,puma,2015,2.0461493976616363,0.18533016453397488
1900,puma,2015,2.1650785911076262,0.2655299418144109
2000,puma,2015,2.169744563890048,0.3734210314091926
2100,puma,2015,2.133157020809248,0.250173332434479
2201,puma,2015,2.1254529856727062,0.1975788050171427
